"code.source","code.target","Relationship","adjustment","group.id"
81210,81210,"1:1","2022 to 2017",NA
81290,81290,"1:1","2022 to 2017",NA
81310,81310,"1:1","2022 to 2017",NA
81320,81320,"1:1","2022 to 2017",NA
81330,81330,"1:1","2022 to 2017",NA
81340,81340,"1:1","2022 to 2017",NA
81350,81350,"1:1","2022 to 2017",NA
81400,81400,"1:1","2022 to 2017",NA
90111,90111,"1:1","2022 to 2017",NA
90112,90112,"1:1","2022 to 2017",NA
90121,90121,"1:1","2022 to 2017",NA
90122,90122,"1:1","2022 to 2017",NA
90190,90190,"1:1","2022 to 2017",NA
90210,90210,"1:1","2022 to 2017",NA
90220,90220,"1:1","2022 to 2017",NA
90230,90230,"1:1","2022 to 2017",NA
90240,90240,"1:1","2022 to 2017",NA
90300,90300,"1:1","2022 to 2017",NA
90411,90411,"1:1","2022 to 2017",NA
90412,90412,"1:1","2022 to 2017",NA
90421,90421,"1:1","2022 to 2017",NA
90422,90422,"1:1","2022 to 2017",NA
90510,90510,"1:1","2022 to 2017",NA
90520,90520,"1:1","2022 to 2017",NA
90611,90611,"1:1","2022 to 2017",NA
90619,90619,"1:1","2022 to 2017",NA
90620,90620,"1:1","2022 to 2017",NA
90710,90710,"1:1","2022 to 2017",NA
90720,90720,"1:1","2022 to 2017",NA
90811,90811,"1:1","2022 to 2017",NA
90812,90812,"1:1","2022 to 2017",NA
90821,90821,"1:1","2022 to 2017",NA
90822,90822,"1:1","2022 to 2017",NA
90831,90831,"1:1","2022 to 2017",NA
90832,90832,"1:1","2022 to 2017",NA
90921,90921,"1:1","2022 to 2017",NA
90922,90922,"1:1","2022 to 2017",NA
90931,90931,"1:1","2022 to 2017",NA
90932,90932,"1:1","2022 to 2017",NA
90961,90961,"1:1","2022 to 2017",NA
90962,90962,"1:1","2022 to 2017",NA
91011,91011,"1:1","2022 to 2017",NA
91012,91012,"1:1","2022 to 2017",NA
91020,91020,"1:1","2022 to 2017",NA
91030,91030,"1:1","2022 to 2017",NA
91091,91091,"1:1","2022 to 2017",NA
91099,91099,"1:1","2022 to 2017",NA
100111,100111,"1:1","2022 to 2017",NA
100119,100119,"1:1","2022 to 2017",NA
100191,100191,"1:1","2022 to 2017",NA
100199,100199,"1:1","2022 to 2017",NA
100210,100210,"1:1","2022 to 2017",NA
100290,100290,"1:1","2022 to 2017",NA
100310,100310,"1:1","2022 to 2017",NA
100390,100390,"1:1","2022 to 2017",NA
100410,100410,"1:1","2022 to 2017",NA
100490,100490,"1:1","2022 to 2017",NA
100510,100510,"1:1","2022 to 2017",NA
100590,100590,"1:1","2022 to 2017",NA
100610,100610,"1:1","2022 to 2017",NA
100620,100620,"1:1","2022 to 2017",NA
100630,100630,"1:1","2022 to 2017",NA
100640,100640,"1:1","2022 to 2017",NA
100710,100710,"1:1","2022 to 2017",NA
100790,100790,"1:1","2022 to 2017",NA
100810,100810,"1:1","2022 to 2017",NA
100821,100821,"1:1","2022 to 2017",NA
100829,100829,"1:1","2022 to 2017",NA
100830,100830,"1:1","2022 to 2017",NA
100840,100840,"1:1","2022 to 2017",NA
100850,100850,"1:1","2022 to 2017",NA
100860,100860,"1:1","2022 to 2017",NA
100890,100890,"1:1","2022 to 2017",NA
110100,110100,"1:1","2022 to 2017",NA
110220,110220,"1:1","2022 to 2017",NA
110290,110290,"1:1","2022 to 2017",NA
110311,110311,"1:1","2022 to 2017",NA
110313,110313,"1:1","2022 to 2017",NA
110319,110319,"1:1","2022 to 2017",NA
110320,110320,"1:1","2022 to 2017",NA
