code.after,code.before,Relationship,adjustment
5816,5839,n:n,1988 to 1976
5816,5842,n:n,1988 to 1976
5816,5843,n:n,1988 to 1976
5816,5849,n:n,1988 to 1976
5816,5851,n:n,1988 to 1976
5816,5852,n:n,1988 to 1976
5816,8939,n:n,1988 to 1976
5817,8939,n:1,1988 to 1976
5821,5821,n:n,1988 to 1976
5821,5822,n:n,1988 to 1976
5821,5823,n:n,1988 to 1976
5821,5824,n:n,1988 to 1976
5821,5825,n:n,1988 to 1976
5821,5826,n:n,1988 to 1976
5821,5827,n:n,1988 to 1976
5821,5829,n:n,1988 to 1976
5821,5831,n:n,1988 to 1976
5821,5832,n:n,1988 to 1976
5821,5833,n:n,1988 to 1976
5821,5834,n:n,1988 to 1976
5821,5835,n:n,1988 to 1976
5821,5836,n:n,1988 to 1976
5821,5837,n:n,1988 to 1976
5821,5839,n:n,1988 to 1976
5821,5841,n:n,1988 to 1976
5821,5842,n:n,1988 to 1976
5821,5843,n:n,1988 to 1976
