code.after,code.before,Relationship,adjustment
7369,7195,n:1,1976 to 1962
7371,7152,n:1,1976 to 1962
7372,7152,n:1,1976 to 1962
7373,7152,n:n,1976 to 1962
7373,7299,n:n,1976 to 1962
7411,7191,n:1,1976 to 1962
7412,7191,n:1,1976 to 1962
7413,7299,n:n,1976 to 1962
7413,7191,n:n,1976 to 1962
7414,7191,n:1,1976 to 1962
7415,7191,n:1,1976 to 1962
7416,7191,n:1,1976 to 1962
7421,7192,n:1,1976 to 1962
7422,7192,n:1,1976 to 1962
7423,7192,n:1,1976 to 1962
7428,7192,n:1,1976 to 1962
7429,7192,n:1,1976 to 1962
7431,7192,n:1,1976 to 1962
7432,7192,n:1,1976 to 1962
7433,7192,n:1,1976 to 1962
7434,7192,n:1,1976 to 1962
7435,7123,n:n,1976 to 1962
7435,7192,n:n,1976 to 1962
7436,7123,n:n,1976 to 1962
7436,7192,n:n,1976 to 1962
7439,7123,n:n,1976 to 1962
7439,7192,n:n,1976 to 1962
7441,7193,n:1,1976 to 1962
7442,7193,n:1,1976 to 1962
7449,7193,n:1,1976 to 1962
7451,7195,n:1,1976 to 1962
7452,7196,n:1,1976 to 1962
7491,7197,1:1,1976 to 1962
7492,7199,n:1,1976 to 1962
7493,7199,n:1,1976 to 1962
7499,7199,n:1,1976 to 1962
7511,7141,1:1,1976 to 1962
7512,7142,n:n,1976 to 1962
7512,7143,n:n,1976 to 1962
7518,7149,n:n,1976 to 1962
7518,8616,n:n,1976 to 1962
7521,7142,n:n,1976 to 1962
7521,7143,n:n,1976 to 1962
7522,7142,n:n,1976 to 1962
7522,7143,n:n,1976 to 1962
7523,7142,n:n,1976 to 1962
7523,7143,n:n,1976 to 1962
7524,7142,n:n,1976 to 1962
7524,7143,n:n,1976 to 1962
7525,7142,n:n,1976 to 1962
7525,7143,n:n,1976 to 1962
7528,7142,n:n,1976 to 1962
7528,7143,n:n,1976 to 1962
7591,7149,n:n,1976 to 1962
7591,8616,n:n,1976 to 1962
7599,7149,n:1,1976 to 1962
7611,7241,n:1,1976 to 1962
7612,7241,n:1,1976 to 1962
7621,7242,n:1,1976 to 1962
7622,7242,n:1,1976 to 1962
7628,7242,n:1,1976 to 1962
7631,8911,n:1,1976 to 1962
7638,8911,n:1,1976 to 1962
7641,7249,n:1,1976 to 1962
7642,7249,n:1,1976 to 1962
7643,7241,n:n,1976 to 1962
7643,7242,n:n,1976 to 1962
7648,7242,n:n,1976 to 1962
7648,7241,n:n,1976 to 1962
7649,7249,n:n,1976 to 1962
7649,7241,n:n,1976 to 1962
7649,7242,n:n,1976 to 1962
7649,8911,n:n,1976 to 1962
